Class,File,Surface Area,Volume,Rectangularity,Compactness,Convexity,Eccentricity,Diameter,A3_0,A3_1,A3_2,A3_3,A3_4,A3_5,A3_6,A3_7,A3_8,A3_9,A3_10,A3_11,A3_12,A3_13,A3_14,A3_15,A3_16,A3_17,A3_18,A3_19,A3_20,A3_21,A3_22,A3_23,A3_24,A3_25,A3_26,A3_27,A3_28,A3_29,D1_0,D1_1,D1_2,D1_3,D1_4,D1_5,D1_6,D1_7,D1_8,D1_9,D1_10,D1_11,D1_12,D1_13,D1_14,D1_15,D1_16,D1_17,D1_18,D1_19,D1_20,D1_21,D1_22,D1_23,D1_24,D1_25,D1_26,D1_27,D1_28,D1_29,D2_0,D2_1,D2_2,D2_3,D2_4,D2_5,D2_6,D2_7,D2_8,D2_9,D2_10,D2_11,D2_12,D2_13,D2_14,D2_15,D2_16,D2_17,D2_18,D2_19,D2_20,D2_21,D2_22,D2_23,D2_24,D2_25,D2_26,D2_27,D2_28,D2_29,D3_0,D3_1,D3_2,D3_3,D3_4,D3_5,D3_6,D3_7,D3_8,D3_9,D3_10,D3_11,D3_12,D3_13,D3_14,D3_15,D3_16,D3_17,D3_18,D3_19,D3_20,D3_21,D3_22,D3_23,D3_24,D3_25,D3_26,D3_27,D3_28,D3_29,D4_0,D4_1,D4_2,D4_3,D4_4,D4_5,D4_6,D4_7,D4_8,D4_9,D4_10,D4_11,D4_12,D4_13,D4_14,D4_15,D4_16,D4_17,D4_18,D4_19,D4_20,D4_21,D4_22,D4_23,D4_24,D4_25,D4_26,D4_27,D4_28,D4_29
AircraftBuoyant,m1337.obj,0.10809235499555456,0.20351136242088255,0.030915438229154237,6.030451705327365e-05,0.055190231500145334,5.938864978350937e-06,0.06134551339850587,0.00884,0.02378,0.03708,0.04844,0.05728,0.06488,0.0686,0.07162,0.07278,0.07294,0.07214,0.06894,0.06292,0.05356,0.04738,0.04016,0.03324,0.02592,0.01988,0.0153,0.0111,0.00826,0.0061,0.00364,0.00236,0.00156,0.0007,0.00038,0.00018,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01756,0.27964,0.33522,0.31898,0.00634,0.00414,0.00942,0.0287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00382,0.01096,0.02048,0.02982,0.03794,0.04578,0.05344,0.06316,0.06702,0.07632,0.08354,0.09086,0.09686,0.10978,0.11988,0.0677,0.01346,0.00918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016,0.0019,0.0067,0.01368,0.02078,0.03024,0.04016,0.05068,0.06322,0.073,0.08364,0.0943,0.099,0.09944,0.10298,0.0924,0.07424,0.0378,0.01074,0.00436,0.00058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00062,0.0047,0.0119,0.02078,0.03374,0.04658,0.0568,0.06906,0.07932,0.0839,0.09188,0.09402,0.08886,0.0863,0.07474,0.06172,0.04492,0.02992,0.01394,0.0049,0.0012,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AircraftBuoyant,m1338.obj,0.1350295328332729,0.2099083631572914,0.030171403868966003,0.00011231227306360508,0.053076031985581036,1.527219512416842e-06,0.06921410823540006,0.0085,0.0231,0.03714,0.04882,0.05782,0.0655,0.06814,0.07458,0.07596,0.07252,0.06994,0.0667,0.0609,0.05378,0.04714,0.0402,0.03172,0.02654,0.02104,0.01556,0.01122,0.00866,0.00556,0.0038,0.00208,0.0015,0.00084,0.00048,0.00024,2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03386,0.24572,0.37524,0.29088,0.01196,0.01288,0.00662,0.01184,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00348,0.01154,0.0201,0.02784,0.03646,0.04372,0.05326,0.06078,0.06952,0.07748,0.08614,0.09362,0.09966,0.10908,0.11312,0.07286,0.01616,0.00506,0.00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032,0.00238,0.00668,0.0119,0.02026,0.0291,0.04062,0.04928,0.06148,0.0727,0.08346,0.09296,0.09796,0.10194,0.10386,0.09348,0.07696,0.03926,0.0114,0.00374,0.00026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00072,0.00446,0.01212,0.02072,0.03078,0.0454,0.05578,0.0663,0.07792,0.08476,0.08984,0.09298,0.09148,0.0841,0.07716,0.06456,0.04818,0.0309,0.01528,0.00496,0.00152,8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AircraftBuoyant,m1339.obj,0.02668260938976078,0.015000468206817446,0.0026205100374472666,0.00018550799737746527,0.005722925989215561,3.3947391255409255e-05,0.13032336772116065,0.02034,0.04306,0.05724,0.06092,0.06318,0.06642,0.0637,0.06344,0.06284,0.05864,0.05326,0.0503,0.04602,0.0403,0.03832,0.03338,0.0295,0.0264,0.02174,0.02058,0.01622,0.01494,0.01232,0.00958,0.008,0.00712,0.00526,0.00378,0.0026,0.0006,0.0017,0.01428,0.05054,0.05468,0.06124,0.22326,0.11894,0.06126,0.04016,0.11466,0.13348,0.04568,0.0,6e-05,0.00086,0.00196,0.00142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00178,0.06958,0.00446,0.0,0.0,0.0,0.0158,0.05012,0.0965,0.1547,0.1763,0.1524,0.08904,0.06116,0.03292,0.02522,0.01726,0.0188,0.02008,0.02446,0.0197,0.01528,0.01552,0.0142,0.00054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00336,0.02544,0.06864,0.1224,0.16514,0.17942,0.14298,0.0908,0.06052,0.04082,0.03144,0.02694,0.01694,0.00854,0.00482,0.00422,0.00224,0.00166,0.00132,0.00106,0.00094,0.00036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00676,0.04568,0.10314,0.15204,0.17652,0.17026,0.1321,0.08466,0.05294,0.0325,0.0186,0.00962,0.00606,0.00366,0.0023,0.00146,0.00092,0.00034,0.00024,0.0001,6e-05,2e-05,2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AircraftBuoyant,m1340.obj,0.0204425249279754,0.018320115537997277,0.01852252334476747,5.565190319448641e-05,0.0407463418473521,0.0002623449744528916,9.598916087582188e-05,0.05918,0.09554,0.07896,0.0701,0.05002,0.03938,0.03744,0.039,0.03858,0.04088,0.04058,0.0393,0.03956,0.03586,0.03576,0.033,0.03094,0.02778,0.02562,0.02124,0.01994,0.0174,0.01642,0.01548,0.01448,0.01284,0.01058,0.00824,0.00432,0.00158,0.0,0.00134,0.06442,0.04382,0.03136,0.01978,0.01084,0.02026,0.04338,0.04236,0.04272,0.05178,0.10998,0.16982,0.21622,0.09186,0.01296,0.0,0.0163,0.0108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03136,0.08202,0.10122,0.06864,0.0795,0.10202,0.07056,0.05556,0.03934,0.03198,0.04642,0.05458,0.06246,0.08446,0.06632,0.01518,0.00754,0.00084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064,0.03718,0.06564,0.08368,0.12336,0.16068,0.16312,0.12612,0.07898,0.06134,0.0541,0.03392,0.00516,0.00032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00974,0.05482,0.10696,0.154,0.18166,0.17832,0.13986,0.09216,0.05238,0.02222,0.00714,0.00074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AircraftBuoyant,m1341.obj,0.024542671351573186,0.02073392494732493,0.020392289075961523,7.453257033805807e-05,0.04026019120834992,0.00012646321700638622,8.946184243017222e-06,0.03382,0.06644,0.0733,0.06916,0.06402,0.05358,0.05284,0.05326,0.05196,0.04738,0.04452,0.04216,0.03876,0.0371,0.03498,0.0309,0.02726,0.02516,0.02136,0.01934,0.01826,0.01708,0.01552,0.015,0.01306,0.01112,0.00948,0.00706,0.0046,0.00152,0.01136,0.0208,0.01356,0.09432,0.09358,0.0943,0.08308,0.08692,0.0558,0.052,0.06428,0.07766,0.05734,0.02128,0.02394,0.0229,0.0232,0.02666,0.02154,0.0251,0.02752,0.00286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0181,0.0569,0.09342,0.10742,0.1274,0.14748,0.12836,0.05762,0.0465,0.04528,0.0356,0.0305,0.02868,0.03038,0.0244,0.01572,0.00608,0.00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00204,0.02446,0.06442,0.10978,0.15088,0.17508,0.17438,0.12426,0.06006,0.04316,0.03576,0.02656,0.00904,0.00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00758,0.04584,0.10438,0.15694,0.18706,0.18134,0.14266,0.09416,0.0464,0.02218,0.01006,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AircraftBuoyant,m1342.obj,0.059447704501714514,0.07744528218528125,0.026379601707525426,7.117614451328629e-05,0.0517039294269898,5.670162379267862e-05,0.003524616261372254,0.03942,0.04416,0.0489,0.053,0.06026,0.0618,0.06078,0.06084,0.05842,0.0564,0.05494,0.05066,0.04858,0.0437,0.04138,0.03748,0.03218,0.02876,0.02462,0.02054,0.01688,0.01434,0.01138,0.00866,0.00688,0.00596,0.0042,0.00246,0.00176,0.00066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00324,0.10564,0.10312,0.10588,0.13266,0.18286,0.13948,0.06516,0.00438,0.10896,0.04002,0.0086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0222,0.03954,0.04914,0.04772,0.05328,0.06112,0.07026,0.07622,0.08644,0.09858,0.09232,0.06244,0.06346,0.06052,0.05194,0.0381,0.02578,0.00094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00402,0.0143,0.03052,0.04708,0.06256,0.0776,0.08866,0.08874,0.0902,0.10046,0.10018,0.09022,0.07212,0.06144,0.04428,0.0257,0.00192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00446,0.02414,0.04866,0.07162,0.08862,0.10058,0.10812,0.1079,0.0999,0.09216,0.07998,0.06622,0.05036,0.03314,0.01778,0.00582,0.00054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AircraftBuoyant,m1343.obj,0.09760093381694998,0.12171934984147165,0.031501411012626504,0.0001274753544602412,0.05867691134160135,2.1696295212540466e-05,0.00787554886893603,0.01268,0.03096,0.04492,0.05544,0.0636,0.06786,0.06806,0.06978,0.06852,0.06546,0.06106,0.05818,0.05286,0.04754,0.04136,0.03856,0.0323,0.02744,0.02194,0.01742,0.01452,0.01138,0.00828,0.0067,0.00462,0.00322,0.00268,0.0013,0.001,0.00036,0.00032,0.00098,0.00142,0.00244,0.00298,0.00322,0.00392,0.0154,0.0921,0.18864,0.14994,0.08,0.0482,0.0831,0.08214,0.10056,0.10494,0.02704,0.01266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00622,0.02184,0.03818,0.05632,0.07042,0.0801,0.08942,0.0954,0.10256,0.10834,0.1086,0.11436,0.05126,0.01856,0.01424,0.0129,0.00864,0.00264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00052,0.00628,0.01798,0.03192,0.05342,0.0699,0.08752,0.10024,0.10966,0.11568,0.11718,0.1114,0.08928,0.05874,0.01722,0.00868,0.00388,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00196,0.01132,0.031,0.05104,0.0745,0.09396,0.11018,0.11636,0.11304,0.10748,0.09842,0.07876,0.05574,0.03512,0.01532,0.00442,0.00116,0.00022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AircraftBuoyant,m1344.obj,0.05878720037218536,0.08578491908934921,0.023799060380554484,5.5521408458560566e-05,0.05051436428034489,2.3358287812092375e-05,0.0031256088250000437,0.0271,0.02822,0.04024,0.05034,0.0588,0.06368,0.06654,0.0688,0.06652,0.0633,0.06062,0.05618,0.05596,0.05404,0.04606,0.039,0.03272,0.02632,0.02398,0.01856,0.01414,0.0112,0.00814,0.00568,0.00466,0.00368,0.00262,0.00158,0.00106,0.00026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01456,0.3889,0.43764,0.0,0.0,0.0126,0.0,0.0,0.01514,0.0131,0.05714,0.01774,0.02446,0.01872,0.0,0.0,0.0,0.0,0.0,0.0,0.0156,0.02972,0.03468,0.04714,0.05708,0.06758,0.07396,0.08382,0.08832,0.09812,0.11624,0.09706,0.03522,0.0346,0.0441,0.04888,0.0245,0.00338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.00892,0.02256,0.0385,0.05764,0.06746,0.07298,0.08486,0.09392,0.0994,0.10138,0.09406,0.07834,0.05032,0.05092,0.04596,0.02532,0.00546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00308,0.0168,0.03644,0.05378,0.07158,0.0898,0.09924,0.10458,0.09788,0.09208,0.0873,0.07386,0.05896,0.04376,0.0325,0.02384,0.01206,0.00244,2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AircraftBuoyant,m1345.obj,0.09011387429340294,0.10476169205953526,0.03743179309281504,0.0001359356017197893,0.08711860565036017,1.7264962634550044e-05,7.042983715018389e-06,0.01326,0.02958,0.04252,0.05128,0.06136,0.06504,0.06928,0.07026,0.06918,0.06668,0.06596,0.06428,0.05846,0.05054,0.04366,0.03748,0.03186,0.02518,0.01972,0.015,0.0127,0.01008,0.00738,0.00538,0.005,0.00316,0.0025,0.00182,0.00108,0.00032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00084,0.1736,0.1872,0.2116,0.34544,0.0,0.02546,0.00232,0.0,0.01104,0.0,0.00118,0.0,0.0,0.00844,0.01004,0.01952,0.00332,0.0,0.0,0.0,0.0,0.0,0.00918,0.0272,0.04472,0.0618,0.07696,0.09588,0.11004,0.1298,0.14822,0.15416,0.05502,0.02338,0.01726,0.0109,0.0097,0.01248,0.01146,0.00184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00088,0.00766,0.02174,0.04014,0.06342,0.08874,0.11032,0.12978,0.14472,0.14066,0.11586,0.06174,0.03022,0.01868,0.01236,0.00954,0.00346,8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00262,0.01516,0.03646,0.06394,0.08796,0.11014,0.1271,0.13342,0.12766,0.11106,0.08386,0.0519,0.02758,0.01264,0.00584,0.00234,0.00032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AircraftBuoyant,m1346.obj,0.025870123391225748,0.01694783342487201,0.02176249581191831,0.00013205507667474512,0.03948039612167093,0.00020163449389359083,0.010228705315145241,0.02984,0.06656,0.0882,0.08598,0.07518,0.06182,0.0536,0.04672,0.04044,0.03574,0.0323,0.0303,0.02978,0.02822,0.02722,0.02678,0.02754,0.02604,0.02524,0.0247,0.02298,0.02426,0.02138,0.02012,0.01716,0.01328,0.01016,0.00562,0.00236,0.00048,0.0,0.0,0.0,0.0,0.12632,0.09842,0.10042,0.071,0.0582,0.05258,0.08266,0.08424,0.0715,0.06896,0.0912,0.04648,0.02062,0.01368,0.01244,0.00128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01588,0.04856,0.0888,0.12992,0.13046,0.10226,0.08786,0.07712,0.068,0.05602,0.05282,0.04194,0.03766,0.02988,0.01986,0.00994,0.00284,0.00018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00284,0.0223,0.05706,0.09936,0.13748,0.16498,0.16746,0.1567,0.1235,0.05582,0.01108,0.00106,0.00036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00794,0.04448,0.09832,0.15,0.18856,0.19404,0.16762,0.10872,0.03618,0.00402,0.00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
